model,family,framing,arm,signed_alpha,n_pairs,metric,behaviour,base_mean,arm_mean,delta,ci_lo,ci_hi,p_paired_t,p_wilcoxon
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density,initializing,0.6555156727806019,0.5424595790317612,-0.11305609374884061,-0.20490522549084633,-0.020518053953302334,0.018088476112211812,0.01902800382570824
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density,deduction,3.8434546154919462,3.880113731103971,0.03665911561202554,-0.190136885039749,0.27833302597086107,0.7575992867153485,0.947870795438625
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density,adding-knowledge,1.7057856412103216,1.558337356909539,-0.1474482843007828,-0.3131843078693022,0.021362405920458787,0.0840676276427829,0.10493456458864263
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density,example-testing,0.31224159286841713,0.3290543098285098,0.0168127169600926,-0.06455597326289114,0.10925317331059299,0.7138954511531567,0.5937111795136514
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density,uncertainty-estimation,0.6064632283561479,0.7514892284609793,0.14502600010483144,0.031205708246699184,0.26898077771524675,0.015800620472991425,0.00741962394949801
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density,backtracking,0.27885655324822356,0.27510504232381805,-0.003751510924405485,-0.06931971754281427,0.06113037693887478,0.9131755889921628,0.7853432116230679
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,coverage,initializing,0.11856491824365388,0.0993987405786662,-0.01916617766498769,-0.03098279089416824,-0.00611892407872759,0.002506497070672476,0.02093388715890811
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,coverage,deduction,0.47543687958404696,0.49332398014255796,0.017887100558511067,-0.007996581827899266,0.042133614609928996,0.15657964617343534,0.16508894646235006
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,coverage,adding-knowledge,0.23276136044242732,0.2208194210146037,-0.011941939427823609,-0.0339665114601923,0.012319465472131001,0.3089340050460175,0.3030171456848746
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,coverage,example-testing,0.048402524728624455,0.04247226956367781,-0.005930255164946642,-0.017021032538644627,0.004941888784748851,0.3083157209137795,0.47610341518873944
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,coverage,uncertainty-estimation,0.07994356445142115,0.10160979720871892,0.021666232757297774,0.003939731895346257,0.03981566939970689,0.018201402126858335,0.004418242966536983
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,coverage,backtracking,0.04489075254982626,0.04237579149177537,-0.0025149610580508914,-0.013426037786238045,0.007651165932639722,0.654195630642425,0.6790342672179113
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,any,initializing,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,any,deduction,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,any,adding-knowledge,0.9798657718120806,0.9865771812080537,0.006711409395973154,-0.020134228187919462,0.03355704697986577,0.6562419878969388,1.0
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,any,example-testing,0.436241610738255,0.48322147651006714,0.04697986577181208,-0.040268456375838924,0.1342281879194631,0.30882522074267327,0.30722840973069676
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,any,uncertainty-estimation,0.6711409395973155,0.7516778523489933,0.08053691275167785,-0.006711409395973154,0.174496644295302,0.07677073150788662,0.07684324403365637
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,any,backtracking,0.5637583892617449,0.5838926174496645,0.020134228187919462,-0.087248322147651,0.12751677852348994,0.7192847982820424,0.7179816667337766
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density_testlex,initializing,0.004428353302235407,0.0037942938306682163,-0.0006340594715671904,-0.004185970663059238,0.0025635360745818246,0.7059787490582017,
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density_testlex,deduction,0.1314254104559466,0.09705953503624137,-0.03436587541970523,-0.07947142330264015,0.010525190901091032,0.13477464143842124,0.1392014003800864
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density_testlex,adding-knowledge,0.015523357859370266,0.02353064920251205,0.008007291343141786,-0.012773199094722205,0.030768439658727,0.47526174235479424,0.5320471843202862
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density_testlex,example-testing,0.0035794183445190158,0.0,-0.0035794183445190158,-0.010738255033557048,0.0,0.31894268036747386,
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density_testlex,uncertainty-estimation,0.061559992636428106,0.10542131773756179,0.04386132510113369,0.007060533601451792,0.08292113982060871,0.03225890443798033,0.04354543410541452
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density_testlex,backtracking,0.004066969719375313,0.0026632576968147435,-0.0014037120225605696,-0.008159049181848595,0.005737622286426393,0.6971901128961125,
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density_nontest,initializing,0.6510873194783665,0.538665285201093,-0.11242203427727342,-0.20445428586634012,-0.020558182875675658,0.01861702896071983,0.017020080629481252
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density_nontest,deduction,3.7120292050359995,3.783054196067729,0.07102499103173081,-0.1645999408259209,0.3158784580541141,0.5499223975919499,0.7682326430432084
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density_nontest,adding-knowledge,1.6902622833509513,1.5348067077070269,-0.15545557564392457,-0.3262477610563007,0.011418433714528328,0.07189393097071596,0.08457107417718028
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density_nontest,example-testing,0.3086621745238981,0.3290543098285098,0.020392135304611616,-0.061068596550592366,0.1122135808713331,0.6589646787482006,0.5513299735601335
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density_nontest,uncertainty-estimation,0.5449032357197199,0.6460679107234174,0.10116467500369779,-0.007276383380473137,0.22212994308140693,0.08245263048080347,0.06458300268577907
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density_nontest,backtracking,0.27478958352884825,0.27244178462700336,-0.0023477989018449133,-0.06721183924399957,0.061076360136184595,0.9451762620714232,0.7893730141081321
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,words,,345.2281879194631,398.46308724832215,53.23489932885906,8.988590604026847,97.53372483221472,0.01616617837796967,0.006467828234206214
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,n_spans_counted,,24.06040268456376,27.825503355704697,3.7651006711409396,0.7380872483221477,6.732046979865769,0.011380168425255948,0.00347625298652006
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density,initializing,0.6555156727806019,0.6981156399725649,0.04259996719196304,-0.05813177336509114,0.15224390963021478,0.4362390150563615,0.3733928739853499
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density,deduction,3.8434546154919462,4.111430661144452,0.2679760456525074,0.030215678662436296,0.5106191748387368,0.02848857975652198,0.033399690831779884
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density,adding-knowledge,1.7057856412103216,1.6502635210253909,-0.055522120184930863,-0.23360223166403554,0.11877158954612291,0.5297559827355484,0.6989911045055317
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density,example-testing,0.31224159286841713,0.2862640238618894,-0.025977569006527677,-0.12100683468477864,0.0676353836494554,0.6057711850333538,0.5595997923728147
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density,uncertainty-estimation,0.6064632283561479,0.6188092260029103,0.012345997646762447,-0.10093823087824538,0.13354798066909873,0.8335521792272781,0.8095221945326928
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density,backtracking,0.27885655324822356,0.26912054982059597,-0.009736003427627603,-0.07463878012918444,0.051216663184602974,0.7625815955774224,0.4928918375241349
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,coverage,initializing,0.11856491824365388,0.11733955127787783,-0.001225366965776045,-0.013104674796061278,0.012142187448898042,0.8561555777205593,0.8722519033647032
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,coverage,deduction,0.47543687958404696,0.4946888150911627,0.019251935507115844,-0.00531631952790612,0.045056649612187964,0.14017144647576102,0.1416573540045181
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,coverage,adding-knowledge,0.23276136044242732,0.22359419158676705,-0.00916716885566031,-0.032542827011036994,0.013881319632693852,0.4410940090952183,0.8227808811337464
